key,id,avg24h,sampleCountLast24h,cleanSampleCount24h,outliersRemoved24h,min24h,max24h,avg7d,sampleCountLast7d,cleanSampleCount7d,outliersRemoved7d,min7d,max7d,totalUnits7d
"adv_spare","y3nmw","77264","95","94","1","55556","90000","77678","863","842","21","55000","94000","8807"
"std_spare","l0og1","28844","33","26","7","24000","31111","29906","420","405","15","13889","45000","3319"
"cheap_spare","j0w96","143175","3","3","0","200","225000","14535","38","38","0","100","45000","182"
"adv_tool","4q7pl","73373","37","36","1","57000","82000","78528","484","459","25","54999","96429","4584"
"std_tool","qjqw9","27403","53","53","0","21429","35555","27227","550","539","11","10500","45000","3857"
"cheap_tool","wjlrd","","0","0","","","","36028","21","21","0","5000","99999","26"
"str_boar","5lo3o","6440","26","26","0","5571","9143","9074","268","266","2","5571","12857","1830"
"polymer","jl26","99999","5","5","0","99999","99999","3048","72","72","0","1000","5000","3525"
"water_carrier","m22k","25455","25","25","0","19999","40000","33380","213","208","5","9000","64444","10390"
"plastic_bottle","pry2","32315","25","25","0","28000","34999","33485","186","180","6","16000","50000","1797"
"ammonia","40vn","22200","28","20","8","19998","26000","25322","256","234","22","8333","35555","2540"
